ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,neighborhood
11824037,JC428157,09/10/2019 08:25:00 PM,016XX S LAFLIN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1233,12,25,31,14,1166639.0,1892047.0,2019,09/17/2019 03:49:10 PM,41.859346301,-87.6637977,"(41.859346301, -87.6637977)",Lower West Side
11824667,JC428141,09/10/2019 08:25:00 PM,064XX N WASHTENAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2412,24,50,2,08B,1157157.0,1942599.0,2019,09/17/2019 03:49:10 PM,41.998262327,-87.6972266,"(41.998262327, -87.6972266)",West Ridge
11824041,JC428155,09/10/2019 08:23:00 PM,003XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,1831,18,42,8,03,1176296.0,1902669.0,2019,09/17/2019 03:49:10 PM,41.888281593,-87.628029756,"(41.888281593, -87.628029756)",River North
11824087,JC428190,09/10/2019 08:20:00 PM,063XX W WRIGHTWOOD AVE,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,STREET,False,False,2512,25,30,19,26,1133735.0,1916599.0,2019,09/17/2019 03:49:10 PM,41.927360865,-87.784002742,"(41.927360865, -87.784002742)",Belmont Cragin
11823981,JC428140,09/10/2019 08:19:00 PM,068XX S WABASH AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,True,322,3,6,69,06,1177905.0,1859690.0,2019,09/17/2019 03:49:10 PM,41.770307391,-87.623425284,"(41.770307391, -87.623425284)",Grand Crossing
11824082,JC428185,09/10/2019 08:17:00 PM,020XX W GARFIELD BLVD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,GAS STATION,True,False,932,9,16,61,24,1163878.0,1868181.0,2019,09/17/2019 03:49:10 PM,41.793914018,-87.674604165,"(41.793914018, -87.674604165)",New City
11823871,JC428120,09/10/2019 08:10:00 PM,091XX S COMMERCIAL AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,423,4,10,46,08B,1197734.0,1844871.0,2019,09/17/2019 03:49:10 PM,41.729170867,-87.551235346,"(41.729170867, -87.551235346)",South Chicago
11824068,JC428147,09/10/2019 08:01:00 PM,058XX W IOWA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,False,1511,15,29,25,14,1137274.0,1905408.0,2019,09/17/2019 03:49:10 PM,41.896588485,-87.771267631,"(41.896588485, -87.771267631)",Austin
11823950,JC428145,09/10/2019 08:01:00 PM,018XX S HARDING AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,False,False,1014,10,24,29,15,1150348.0,1890745.0,2019,09/17/2019 03:49:10 PM,41.8561065,-87.723631187,"(41.8561065, -87.723631187)",North Lawndale
11823939,JC428101,09/10/2019 08:00:00 PM,008XX E OAKWOOD BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,214,2,4,36,14,1182756.0,1879001.0,2019,09/17/2019 03:49:10 PM,41.823187142,-87.605043954,"(41.823187142, -87.605043954)",Oakland
