trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
17458616,2017,12,50,0,17,Subscriber,Female,2017-12-11 17:54:00,2017-12-11 18:14:00,20.3,33.1,rain or snow,142,McClurg Ct & Erie St,41.894503,-87.61785400000002,31.0,86,Eckhart Park,41.89637337,-87.66098386,19.0,Streeterville,West Town
11347247,2016,8,33,1,10,Subscriber,Female,2016-08-16 10:11:28,2016-08-16 10:17:36,6.15,81.0,cloudy,419,Lake Park Ave & 53rd St,41.79949429,-87.5864499,15.0,416,Dorchester Ave & 49th St,41.805772,-87.592464,15.0,Hyde Park,Kenwood
8830231,2016,2,8,6,16,Subscriber,Male,2016-02-28 16:47:00,2016-02-28 17:02:00,14.633333333333333,59.0,cloudy,84,Union Ave & Grand Ave,41.89100000000001,-87.645925,19.0,161,Rush St & Superior St,41.895765,-87.625908,23.0,West Town,Rush & Division
12132723,2016,9,39,3,16,Subscriber,Male,2016-09-29 16:46:30,2016-09-29 16:56:01,9.516666666666667,64.0,cloudy,31,Franklin St & Chicago Ave,41.896776,-87.635633,23.0,174,Canal St & Madison St,41.882091,-87.639833,27.0,River North,West Loop
7616536,2015,9,39,2,13,Subscriber,Male,2015-09-23 13:23:00,2015-09-23 13:27:00,3.583333333333333,79.0,cloudy,88,May St & Randolph St,41.88397,-87.655688,15.0,346,Ada St & Washington Blvd,41.88283,-87.661206,15.0,West Loop,West Loop
16559754,2017,9,38,3,19,Subscriber,Male,2017-09-21 19:46:46,2017-09-21 19:56:02,9.266666666666667,84.9,cloudy,448,Warren Park East,42.00454962,-87.68066615,15.0,467,Western Ave & Lunt Ave,42.00859439999999,-87.69049224,15.0,West Ridge,West Ridge
10677824,2016,7,28,2,7,Subscriber,Male,2016-07-13 07:28:52,2016-07-13 07:46:39,17.8,77.0,cloudy,307,Southport Ave & Clybourn Ave,41.920771,-87.663712,15.0,84,Union Ave & Grand Ave,41.89100000000001,-87.645925,19.0,Lincoln Park,West Town
1473724,2014,4,17,1,8,Subscriber,Male,2014-04-22 08:38:00,2014-04-22 08:46:00,7.6,46.9,cloudy,16,Wood St & North Ave,41.910329,-87.672516,11.0,60,Dayton St & North Ave,41.9105780349,-87.6494219288,19.0,Wicker Park,River North
3811169,2014,10,40,2,6,Subscriber,Female,2014-10-01 06:33:00,2014-10-01 06:47:00,13.766666666666667,50.0,cloudy,26,McClurg Ct & Illinois St,41.89102000000001,-87.6173,23.0,287,Franklin St & Arcade Pl,41.881469,-87.635177,23.0,Streeterville,Loop
16788798,2017,10,40,2,8,Subscriber,Female,2017-10-04 08:30:00,2017-10-04 08:42:00,11.966666666666669,71.1,cloudy,14,Morgan St & 18th St,41.858086,-87.651073,15.0,68,Clinton St & Tilden St,41.875885,-87.640795,23.0,Lower West Side,West Loop
12010737,2016,9,38,2,20,Subscriber,Male,2016-09-21 20:19:20,2016-09-21 20:26:57,7.616666666666666,66.9,cloudy,195,Columbus Dr & Randolph St,41.884728,-87.61952099999998,31.0,18,Wacker Dr & Washington St,41.88327159,-87.63731329,19.0,Loop,Loop
